"id","plano_id","forma","carencia","preco"
1,1,"Cartão de crédito (consome limite)","24 horas para todos os procedimentos","49.99"
2,1,"Boleto anual","24 horas para todos os procedimentos","599.88"
3,1,"Cartão recorrente ou Boleto mensal","24h para urgência; 30 dias para consultas; 90 dias para dentística/cirurgias; 120 dias para canal e gengiva; 180 dias para prótese","52.45"
4,2,"Cartão de crédito (consome limite)","24h para todos os procedimentos exceto clareamento estético (90 dias)","89.36"
5,2,"Boleto anual","24h para todos os procedimentos exceto clareamento estético (90 dias)","1072.32"
6,2,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para cirurgias e canal; 90 dias para prótese e estética","97.58"
7,3,"Cartão de crédito (consome limite)","24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias)","159.48"
8,3,"Boleto anual","24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias)","1913.76"
9,3,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas; 60 dias para cirurgias e canal; 120 dias para prótese Rol; 180 dias para estética e prótese dentária","174.60"
10,4,"Cartão de crédito (consome limite)","24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias","116.50"
11,4,"Boleto anual","24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias","1398.00"
12,4,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas e diagnósticos; 60 dias para canal, ortodontia e cirurgias; 90 dias para prótese Rol e estética","132.90"
13,5,"Cartão de crédito (consome limite)","24h para todos os procedimentos; prótese estética e dor orofacial: 90 dias","240.79"
14,5,"Boleto anual","24h para todos os procedimentos; prótese estética e dor orofacial: 90 dias","2889.48"
15,5,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para cirurgias e canal; 120 dias para prótese Rol e dor orofacial; 180 dias para estética e prótese dentária","265.56"
16,6,"Cartão de crédito (consome limite)","24h para todos os procedimentos; ortodontia: 60 dias; estética e prótese: 90 dias","260.01"
17,6,"Boleto anual","24h para todos os procedimentos; ortodontia: 60 dias; estética e prótese: 90 dias","3120.12"
18,6,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para canal, ortodontia e cirurgias; 120 dias para prótese Rol; 180 dias para estética e prótese dentária","290.00"
19,7,"Cartão de crédito (consome limite)","24 horas para todos os procedimentos","32.89"
20,7,"Boleto anual","24 horas para todos os procedimentos","394.68"
21,7,"Cartão de crédito sem pegar limite ou Boleto mensal","24h para urgência; 30 dias para consultas e diagnósticos; 90 dias para cirurgias; 120 dias para gengiva e canal; 180 dias para prótese e DTM","32.99"
22,8,"Cartão de crédito","24h para todos os procedimentos, exceto próteses (carência de 180 dias)","28.90"
23,8,"Boleto mensal","24h para todos os procedimentos, exceto próteses (carência de 180 dias)","28.90"
24,9,"Cartão de crédito","24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias)","47.26"
25,9,"Boleto mensal","24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias)","47.26"
26,10,"Cartão de crédito","Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)","70.55"
27,10,"Boleto mensal","Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)","70.55"
28,11,"Cartão de crédito","Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética)","73.65"
29,11,"Boleto mensal","Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética)","73.65"
30,12,"Cartão de crédito","Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)","83.50"
31,12,"Boleto mensal","Conforme regras do plano (24h para a maioria; 180 dias para estética e prótese)","83.50"
32,13,"Cartão de crédito","Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética e prótese)","124.90"
33,13,"Boleto mensal","Conforme regras do plano (24h para a maioria; 90 dias para ortodontia; 180 dias para estética e prótese)","124.90"
34,14,"Boleto mensal","24 horas para todos os procedimentos","27.42"
35,15,"Boleto mensal","24 horas para todos os procedimentos, inclusive ortodontia e prótese","106.22"
36,16,"Boleto mensal","Depende de promoção vigente. Nunca informar carência padrão. Sempre transbordar para vendedor amortecendo a situação e dizendo que há boas novidades.","32.90"
37,17,"Boleto mensal","Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.","23.90"
38,18,"Cartão de crédito (não consome limite)","Sem carência para nenhum procedimento, incluindo prótese do Rol ANS.","39.90"
39,19,"Boleto mensal","24 horas para todos os procedimentos","23.90"
40,20,"Boleto mensal","24h para procedimentos básicos; 180 dias para ortodontia e próteses","99.90"
41,21,"Boleto mensal","30 dias para procedimentos gerais; 90 dias para cirurgia e canal; 180 dias para próteses","27.90"
